,股票代码,交易日期,换手率,量比,市盈率,市净率
0,300760.SZ,20200331,1.1877,0.79,85.5408,17.111
1,300760.SZ,20200330,1.6451,1.06,84.5569,16.9142
2,300760.SZ,20200327,1.6194,1.04,85.9101,17.1849
3,300760.SZ,20200326,1.8367,1.18,87.8289,17.5687
4,300760.SZ,20200325,1.2213,0.76,82.9847,16.5997
5,300760.SZ,20200324,1.2184,0.75,79.4938,15.9014
6,300760.SZ,20200323,1.8506,1.1,79.2813,15.8589
7,300760.SZ,20200320,1.6401,0.94,77.1403,15.4306
8,300760.SZ,20200319,1.8829,1.1,73.9665,14.7957
9,300760.SZ,20200318,1.4032,0.82,76.65,15.3325
10,300760.SZ,20200317,1.373,0.75,79.265,15.8556
11,300760.SZ,20200316,2.1147,1.26,78.6341,15.7294
12,300760.SZ,20200313,1.9284,1.28,80.494,16.1015
13,300760.SZ,20200312,1.7518,1.22,79.8206,15.9668
14,300760.SZ,20200311,1.3813,0.97,81.3896,16.2806
15,300760.SZ,20200310,1.9684,1.36,84.7171,16.9462
16,300760.SZ,20200309,1.3393,0.93,87.1751,17.4379
17,300760.SZ,20200306,1.0748,0.65,86.1291,17.2287
18,300760.SZ,20200305,1.4147,0.88,85.3839,17.0796
19,300760.SZ,20200304,1.3436,0.81,84.0078,16.8043
20,300760.SZ,20200303,2.0788,1.33,85.6356,17.1299
21,300760.SZ,20200302,1.2761,0.78,79.4186,15.8863
22,300760.SZ,20200228,2.1002,1.42,78.1209,15.6268
23,300760.SZ,20200227,1.2534,0.88,80.1148,16.925
24,300760.SZ,20200226,1.5991,1.18,81.03,17.1184
25,300760.SZ,20200225,1.6148,1.36,84.7825,17.9111
26,300760.SZ,20200224,1.6301,1.46,81.7426,17.2689
27,300760.SZ,20200221,1.3156,1.2,78.5589,16.5963
28,300760.SZ,20200220,0.9709,0.9,76.8102,16.2269
29,300760.SZ,20200219,1.2622,1.22,76.7481,16.2138
30,300760.SZ,20200218,0.7719,0.71,79.1963,16.731
31,300760.SZ,20200217,1.2605,1.04,78.8891,16.6661
32,300760.SZ,20200214,1.2092,0.91,77.3201,16.3346
33,300760.SZ,20200213,0.8756,0.51,74.2312,15.6821
34,300760.SZ,20200212,1.0593,0.54,74.5254,15.7442
35,300760.SZ,20200211,1.0508,0.49,72.9565,15.4128
36,300760.SZ,20200210,1.8934,0.89,73.6854,15.5668
37,300760.SZ,20200207,1.7358,0.89,70.5605,14.9066
38,300760.SZ,20200206,2.8527,1.84,72.5119,15.3188
39,300760.SZ,20200205,2.204,1.71,71.9072,15.1911
40,300760.SZ,20200204,2.0148,1.93,65.3699,13.81
41,300760.SZ,20200203,1.7728,2.19,60.797,12.844
42,300760.SZ,20200123,0.8805,1.08,61.3462,12.96
43,300760.SZ,20200122,0.8795,1.14,63.1734,13.346
44,300760.SZ,20200121,0.905,1.28,63.206,13.3529
45,300760.SZ,20200120,0.7716,1.13,63.425,13.3992
46,300760.SZ,20200117,0.6124,0.87,63.1015,13.3308
47,300760.SZ,20200116,0.901,1.1,62.987,13.3066
48,300760.SZ,20200115,0.6772,0.85,61.5946,13.0125
49,300760.SZ,20200114,0.5597,0.68,61.1239,12.913
50,300760.SZ,20200113,0.6546,0.76,61.5488,13.0028
51,300760.SZ,20200110,0.7269,0.86,61.2873,12.9475
52,300760.SZ,20200109,1.4722,2.1,62.0587,13.1105
53,300760.SZ,20200108,0.5783,0.8,58.8849,12.44
54,300760.SZ,20200107,0.7101,1.01,59.0647,12.478
55,300760.SZ,20200106,0.7933,1.2,57.731,12.1962
56,300760.SZ,20200103,0.6898,1.09,58.1821,12.2915
57,300760.SZ,20200102,0.7371,1.24,58.9437,12.4524
